epoch_min,loss_rate,benign_density_rpa_per_min,contrast,metric,n,mean,sd,ci95_low,ci95_high
5,0.4,100.0,P3-Persist_minus_BudgetDoS,attack_aes_amplification,20,61.488,78.890173,24.566263,98.409737
5,0.4,1000.0,P3-Persist_minus_P3-NoPersist,offered_legit_resolution_rate,20,0.138547,0.03363,0.122808,0.154287
5,0.4,1000.0,P3-Persist_minus_P3-NoPersist,observed_legit_resolution_rate,20,0.228893,0.056098,0.202638,0.255148
5,0.4,1000.0,P3-Persist_minus_P3-NoPersist,false_defer_observed_legit_rate,20,-0.221606,0.055819,-0.24773,-0.195482
5,0.4,1000.0,P3-Persist_minus_P3-NoPersist,attack_aes_amplification,20,53.424,41.509404,33.997001,72.850999
5,0.4,1000.0,P3-Persist_minus_BudgetDoS,offered_legit_resolution_rate,20,0.155251,0.048081,0.132748,0.177754
5,0.4,1000.0,P3-Persist_minus_BudgetDoS,observed_legit_resolution_rate,20,0.25637,0.079324,0.219245,0.293495
5,0.4,1000.0,P3-Persist_minus_BudgetDoS,false_defer_observed_legit_rate,20,-0.248759,0.079317,-0.28588,-0.211638
5,0.4,1000.0,P3-Persist_minus_BudgetDoS,attack_aes_amplification,20,59.472,45.539435,38.158889,80.785111
5,0.4,5000.0,P3-Persist_minus_P3-NoPersist,offered_legit_resolution_rate,20,0.149868,0.032211,0.134793,0.164943
5,0.4,5000.0,P3-Persist_minus_P3-NoPersist,observed_legit_resolution_rate,20,0.249293,0.051319,0.225275,0.273311
5,0.4,5000.0,P3-Persist_minus_P3-NoPersist,false_defer_observed_legit_rate,20,-0.242329,0.051806,-0.266575,-0.218083
5,0.4,5000.0,P3-Persist_minus_P3-NoPersist,attack_aes_amplification,20,22.176,25.247702,10.359712,33.992288
5,0.4,5000.0,P3-Persist_minus_BudgetDoS,offered_legit_resolution_rate,20,0.144099,0.038882,0.125902,0.162296
5,0.4,5000.0,P3-Persist_minus_BudgetDoS,observed_legit_resolution_rate,20,0.240039,0.064959,0.209637,0.27044
5,0.4,5000.0,P3-Persist_minus_BudgetDoS,false_defer_observed_legit_rate,20,-0.232751,0.065266,-0.263297,-0.202206
5,0.4,5000.0,P3-Persist_minus_BudgetDoS,attack_aes_amplification,20,25.2,33.271234,9.628583,40.771417
15,0.0,100.0,P3-Persist_minus_P3-NoPersist,offered_legit_resolution_rate,20,0.393941,0.045964,0.372429,0.415453
15,0.0,100.0,P3-Persist_minus_P3-NoPersist,observed_legit_resolution_rate,20,0.393941,0.045964,0.372429,0.415453
15,0.0,100.0,P3-Persist_minus_P3-NoPersist,false_defer_observed_legit_rate,20,-0.388208,0.046374,-0.409911,-0.366504
15,0.0,100.0,P3-Persist_minus_P3-NoPersist,attack_aes_amplification,20,136.08,60.258542,107.878134,164.281866
15,0.0,100.0,P3-Persist_minus_BudgetDoS,offered_legit_resolution_rate,20,0.43521,0.102167,0.387395,0.483026
15,0.0,100.0,P3-Persist_minus_BudgetDoS,observed_legit_resolution_rate,20,0.43521,0.102167,0.387395,0.483026
15,0.0,100.0,P3-Persist_minus_BudgetDoS,false_defer_observed_legit_rate,20,-0.429244,0.101812,-0.476894,-0.381594
15,0.0,100.0,P3-Persist_minus_BudgetDoS,attack_aes_amplification,20,158.256,79.913889,120.855149,195.656851
15,0.0,1000.0,P3-Persist_minus_P3-NoPersist,offered_legit_resolution_rate,20,0.383862,0.036087,0.366973,0.400752
15,0.0,1000.0,P3-Persist_minus_P3-NoPersist,observed_legit_resolution_rate,20,0.383862,0.036087,0.366973,0.400752
15,0.0,1000.0,P3-Persist_minus_P3-NoPersist,false_defer_observed_legit_rate,20,-0.378631,0.035865,-0.395416,-0.361846
15,0.0,1000.0,P3-Persist_minus_P3-NoPersist,attack_aes_amplification,20,114.912,43.43582,94.583411,135.240589
15,0.0,1000.0,P3-Persist_minus_BudgetDoS,offered_legit_resolution_rate,20,0.389347,0.067144,0.357922,0.420771
15,0.0,1000.0,P3-Persist_minus_BudgetDoS,observed_legit_resolution_rate,20,0.389347,0.067144,0.357922,0.420771
15,0.0,1000.0,P3-Persist_minus_BudgetDoS,false_defer_observed_legit_rate,20,-0.383938,0.066962,-0.415278,-0.352599
15,0.0,1000.0,P3-Persist_minus_BudgetDoS,attack_aes_amplification,20,116.928,46.526886,95.152747,138.703253
15,0.0,5000.0,P3-Persist_minus_P3-NoPersist,offered_legit_resolution_rate,20,0.396921,0.044136,0.376264,0.417577
15,0.0,5000.0,P3-Persist_minus_P3-NoPersist,observed_legit_resolution_rate,20,0.396921,0.044136,0.376264,0.417577
